"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","date_extracted","day_of_week","time_extracted","hour_extract"
"1567","RT @scialpifans: Last #tour
#Scialpi #onstage #live #music #concert #shows #singer #actor #producer #composer #model #music #author https:/…",FALSE,0,NA,2017-08-31 12:18:33,FALSE,NA,"903230525590171648",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Lelly_19",81,TRUE,FALSE,NA,NA,2017-08-31,"Thurs",1567,12
"1568","RT @ranm3dia: The latest The CLASSICAL MUSIC Daily! https://t.co/jZ4ydT8YVe #opera #classicalmusic",FALSE,0,NA,2017-08-31 12:18:09,FALSE,NA,"903230424360607744",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RanPopArt",1,TRUE,FALSE,NA,NA,2017-08-31,"Thurs",1568,12
"1569","RT @today_classical: #Today in 1730 Death of German #composer Gottfried #Finger #MusicHistory #classicalmusic https://t.co/vIZa4Rrunu",FALSE,0,NA,2017-08-31 12:17:16,FALSE,NA,"903230202200903680",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PhillipWSerna",6,TRUE,FALSE,NA,NA,2017-08-31,"Thurs",1569,12
"1570","RT @today_classical: #Today in 1938 Birth of Belgian #violist Wieland #Kuijken #MusicHistory #classicalmusc https://t.co/52iA0SDfQa",FALSE,0,NA,2017-08-31 12:16:45,FALSE,NA,"903230072932376576",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","theSarabande",13,TRUE,FALSE,NA,NA,2017-08-31,"Thurs",1570,12
"1571","RT @today_classical: #Today in 1795 Death of #composer Andre #Philidor. #MusicHistory #classicalmusic https://t.co/x8YXfuRQDl",FALSE,0,NA,2017-08-31 12:16:39,FALSE,NA,"903230046894206976",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PhillipWSerna",3,TRUE,FALSE,NA,NA,2017-08-31,"Thurs",1571,12
"1572","RT @scialpifans: Last #tour
#Scialpi #onstage #live #music #concert #shows #singer #actor #producer #composer #model #music #author https:/…",FALSE,0,NA,2017-08-31 12:15:19,FALSE,NA,"903229712494931968",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Fabio_zyp",81,TRUE,FALSE,NA,NA,2017-08-31,"Thurs",1572,12
"1573","#Today in 1953 Birth of American #composer Peter Scott #Lewis #MusicHistory #classicalmusic https://t.co/R83naZMRmv",FALSE,3,NA,2017-08-31 12:15:14,FALSE,NA,"903229690789470208",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","today_classical",0,FALSE,FALSE,NA,NA,2017-08-31,"Thurs",1573,12
"1574","#TYPO3 #powermail some strange permission problems during #composer install anyone else? cc/@in2code_de",FALSE,0,NA,2017-08-31 12:14:48,FALSE,NA,"903229581817249792",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jugglefish",0,FALSE,FALSE,NA,NA,2017-08-31,"Thurs",1574,12
"1575","RT @today_classical: #Today in 1928 FP of Kurt #Weill's Threepenny Opera in Berlin #MusicHistory #classicalmusic https://t.co/WhUPxv3xVT",FALSE,0,NA,2017-08-31 12:14:34,FALSE,NA,"903229523063431168",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PhillipWSerna",3,TRUE,FALSE,NA,NA,2017-08-31,"Thurs",1575,12
"1576","RT @scialpifans: Last #tour
#Scialpi #onstage #live #music #concert #shows #singer #actor #producer #composer #model #music #author https:/…",FALSE,0,NA,2017-08-31 12:13:59,FALSE,NA,"903229376061464577",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","clax413",81,TRUE,FALSE,NA,NA,2017-08-31,"Thurs",1576,12
"1577","RT @today_classical: #Today in 1938 Birth of Belgian #violist Wieland #Kuijken #MusicHistory #classicalmusc https://t.co/52iA0SDfQa",FALSE,0,NA,2017-08-31 12:11:24,FALSE,NA,"903228729610133504",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PhillipWSerna",13,TRUE,FALSE,NA,NA,2017-08-31,"Thurs",1577,12
"1578","Watch Global News Morning at 8:20 world renowned #orchestra #conducter Airat Ichmouratov talks to @La_Casella about being a #music #composer",FALSE,2,NA,2017-08-31 12:10:00,FALSE,NA,"903228377259286528",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Global_Montreal",2,FALSE,FALSE,NA,NA,2017-08-31,"Thurs",1578,12
"1579","From his self-titled debut album (1988): #MusicHistory https://t.co/hL7spqignt https://t.co/S5x3JqnV1n",FALSE,0,NA,2017-08-31 12:07:14,FALSE,NA,"903227680711213057",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","RojanUK",0,FALSE,FALSE,NA,NA,2017-08-31,"Thurs",1579,12
